id,name,shortName,region,seed,regionSlot,site,subregion,isPlayIn,playInGroup,playInSeed
duke,Duke,DUKE,East,1,East-1,"Washington, D.C.",East Pod,False,,
siena,Siena,SIENA,East,16,East-16,"Washington, D.C.",East Pod,False,,
ohio-state,Ohio State,OSU,East,8,East-8,"Washington, D.C.",East Pod,False,,
tcu,TCU,TCU,East,9,East-9,"Washington, D.C.",East Pod,False,,
st-johns,St. John's,SJU,East,5,East-5,"Washington, D.C.",East Pod,False,,
northern-iowa,Northern Iowa,UNI,East,12,East-12,"Washington, D.C.",East Pod,False,,
kansas,Kansas,KU,East,4,East-4,"Washington, D.C.",East Pod,False,,
cal-baptist,Cal Baptist,CBU,East,13,East-13,"Washington, D.C.",East Pod,False,,
louisville,Louisville,LOU,East,6,East-6,"Washington, D.C.",East Pod,False,,
south-florida,South Florida,USF,East,11,East-11,"Washington, D.C.",East Pod,False,,
michigan-state,Michigan State,MSU,East,3,East-3,"Washington, D.C.",East Pod,False,,
north-dakota-state,North Dakota State,NDSU,East,14,East-14,"Washington, D.C.",East Pod,False,,
ucla,UCLA,UCLA,East,7,East-7,"Washington, D.C.",East Pod,False,,
ucf,UCF,UCF,East,10,East-10,"Washington, D.C.",East Pod,False,,
uconn,UConn,UCONN,East,2,East-2,"Washington, D.C.",East Pod,False,,
furman,Furman,FUR,East,15,East-15,"Washington, D.C.",East Pod,False,,
florida,Florida,FLA,South,1,South-1,"Houston, TX",South Pod,False,,
prairie-view-am,Prairie View A&M,PVAMU,South,16,South-16,"Houston, TX",South Pod,True,south-16-playin,16
lehigh,Lehigh,LEH,South,16,South-16,"Houston, TX",South Pod,True,south-16-playin,16
clemson,Clemson,CLEM,South,8,South-8,"Houston, TX",South Pod,False,,
iowa,Iowa,IOWA,South,9,South-9,"Houston, TX",South Pod,False,,
vanderbilt,Vanderbilt,VANDY,South,5,South-5,"Houston, TX",South Pod,False,,
mcneese,McNeese,MCN,South,12,South-12,"Houston, TX",South Pod,False,,
nebraska,Nebraska,NEB,South,4,South-4,"Houston, TX",South Pod,False,,
troy,Troy,TROY,South,13,South-13,"Houston, TX",South Pod,False,,
north-carolina,North Carolina,UNC,South,6,South-6,"Houston, TX",South Pod,False,,
vcu,VCU,VCU,South,11,South-11,"Houston, TX",South Pod,False,,
illinois,Illinois,ILL,South,3,South-3,"Houston, TX",South Pod,False,,
penn,Penn,PENN,South,14,South-14,"Houston, TX",South Pod,False,,
saint-marys,Saint Mary's,SMC,South,7,South-7,"Houston, TX",South Pod,False,,
texas-am,Texas A&M,TAMU,South,10,South-10,"Houston, TX",South Pod,False,,
houston,Houston,HOU,South,2,South-2,"Houston, TX",South Pod,False,,
idaho,Idaho,IDAHO,South,15,South-15,"Houston, TX",South Pod,False,,
arizona,Arizona,ARIZ,West,1,West-1,"San Jose, CA",West Pod,False,,
long-island,Long Island,LIU,West,16,West-16,"San Jose, CA",West Pod,False,,
villanova,Villanova,NOVA,West,8,West-8,"San Jose, CA",West Pod,False,,
utah-state,Utah State,USU,West,9,West-9,"San Jose, CA",West Pod,False,,
wisconsin,Wisconsin,WISC,West,5,West-5,"San Jose, CA",West Pod,False,,
high-point,High Point,HPU,West,12,West-12,"San Jose, CA",West Pod,False,,
arkansas,Arkansas,ARK,West,4,West-4,"San Jose, CA",West Pod,False,,
hawaii,Hawaii,HAW,West,13,West-13,"San Jose, CA",West Pod,False,,
byu,BYU,BYU,West,6,West-6,"San Jose, CA",West Pod,False,,
texas,Texas,TEX,West,11,West-11,"San Jose, CA",West Pod,True,west-11-playin,11
nc-state,NC State,NCSU,West,11,West-11,"San Jose, CA",West Pod,True,west-11-playin,11
gonzaga,Gonzaga,GONZ,West,3,West-3,"San Jose, CA",West Pod,False,,
kennesaw-state,Kennesaw State,KSU,West,14,West-14,"San Jose, CA",West Pod,False,,
miami,Miami,MIAMI,West,7,West-7,"San Jose, CA",West Pod,False,,
missouri,Missouri,MIZ,West,10,West-10,"San Jose, CA",West Pod,False,,
purdue,Purdue,PUR,West,2,West-2,"San Jose, CA",West Pod,False,,
queens-nc,"Queens (N.C.)",QUEENS,West,15,West-15,"San Jose, CA",West Pod,False,,
michigan,Michigan,MICH,Midwest,1,Midwest-1,"Chicago, IL",Midwest Pod,False,,
umbc,UMBC,UMBC,Midwest,16,Midwest-16,"Chicago, IL",Midwest Pod,True,midwest-16-playin,16
howard,Howard,HOW,Midwest,16,Midwest-16,"Chicago, IL",Midwest Pod,True,midwest-16-playin,16
georgia,Georgia,UGA,Midwest,8,Midwest-8,"Chicago, IL",Midwest Pod,False,,
saint-louis,Saint Louis,SLU,Midwest,9,Midwest-9,"Chicago, IL",Midwest Pod,False,,
texas-tech,Texas Tech,TTU,Midwest,5,Midwest-5,"Chicago, IL",Midwest Pod,False,,
akron,Akron,AKR,Midwest,12,Midwest-12,"Chicago, IL",Midwest Pod,False,,
alabama,Alabama,ALA,Midwest,4,Midwest-4,"Chicago, IL",Midwest Pod,False,,
hofstra,Hofstra,HOF,Midwest,13,Midwest-13,"Chicago, IL",Midwest Pod,False,,
